name,class
DEFAULT,col-12
text,col-12 col-md-6 col-lg-7 order-md-first
text.left,col-12 col-md-6 col-lg-7 order-md-first
text.left.wide,col-12 col-md-7 col-lg-9 order-md-first
text.right,col-12 col-md-6 col-lg-7 order-md-last
text.right.wide,col-12 col-md-7 col-lg-9 order-md-last
float.left,col-12 col-md-6 col-lg-5 float-left order-md-first
float.left.thin,col-12 col-md-5 col-lg-3 float-left order-md-first
float.right,col-12 col-md-6 col-lg-5 order-md-last
float.right.thin,col-12 col-md-5 col-lg-3 order-md-last
half,col-12 col-lg-6
left,col-12 col-lg-6
right,col-12 col-lg-6
album.twoside,col-xs-6 col-md-offset-1 col-lg-offset-0 col-sm-offset-0 col-md-5 col-lg-3
album.oneside,col-12 col-md-offset-1 col-lg-offset-0 col-sm-offset-0 col-md-11 col-lg-6
jumbotron,jumbotron border col-12 text-lg-center
